respid,stack,reptype,dummytype,zip,lengthres,age,employment,profession,income,education,gender,partyid,partystrength,polint,news,turnout,votereg,voteconst,parseats,parcorrect,turnoutbrexit,brexit,westseats,westcorrect,idconst,idregiol1,idregiol2,idwest,constparty,constmeet,constrank,consthelp,constpork,constlegislate,constsurgery,constnews,constpint,reg1party,reg1meet,reg1rank,reg1help,reg1pork,reg1legislate,reg1surgery,reg1news,reg1pint,reg2party,reg2meet,reg2rank,reg2help,reg2pork,reg2legislate,reg2surgery,reg2news,reg2pint,westparty,westmeet,westrank,westhelp,westpork,westlegislate,westsurgery,westnews,westpint,scotid,britdecide,eubenefit,repstack,constrep,constrep_ptystr,arearep1,arearep2,areaparty1,areaparty2,westrep,westpartystr,nonwest1,condition,educat,scotid2,educat2,educat3,corrpolknow,shpty_const_str,shpty_reg1_str,shpty_reg2_str,id_members,constmeet_DK,constrank_DK,consthelp_DK,constpork_DK,constlegislate_DK,constsurgery_DK,constnews_DK,constpint_DK,reg1meet_DK,reg1rank_DK,reg1help_DK,reg1pork_DK,reg1legislate_DK,reg1surgery_DK,reg1news_DK,constpint_DK,reg1pint_DK,reg2pint_DK,reg2meet_DK,reg2rank_DK,reg2help_DK,reg2pork_DK,reg2legislate_DK,reg2surgery_DK,reg2news_DK,reg2pint_DK,westmeet_DK,westrank_DK,westhelp_DK,westpork_DK,westlegislate_DK,westsurgery_DK,westnews_DK,westpint_DK,reg1_PM,reg2_PM,const_PM,MSPID_const,MSPID_reg1,MSPID_reg2,gov_const,gov_reg1,gov_reg2,term_const,term_reg1,term_reg2,marg_reg1,marg_reg2,surgery_const,surgery_reg1,surgery_reg2,surgexstack,stan_mo_const,stan_mo_reg1,stan_mo_reg2,bus_mo_const,bus_mo_reg1,bus_mo_reg2,com_mo_const,com_mo_reg1,com_mo_reg2,deb_mo_const,deb_mo_reg1,deb_mo_reg2,am_mo_const,am_mo_reg1,am_mo_reg2,mo_to_const,mo_to_reg1,mo_to_reg2,ques_to_const,ques_to_reg1,ques_to_reg2,mar_const,prev_elec_const,prev_elec_reg1,prev_elec_reg2,reg1_gender,reg2_gender,const_gender,west_gender,shpty_reg_st,meet_reg_st,rank_reg_st,help_reg_st,pork_reg_st,leg_reg_st,surg_reg_st,news_reg_st,pint_reg_st,PM_reg_st,MSPID_reg_st,gov_reg_st,term_reg_st,marg_reg_st,surgex_reg_st,stan_mo_reg_st,bus_mo_reg_st,com_mo_reg_st,ques_to_reg_st,prev_elec_reg_st,gender_reg_st,meet_reg_DK_st,rank_reg_DK_st,help_reg_DK_st,pork_reg_DK_st,leg_reg_DK_st,surg_reg_DK_st,news_reg_DK_st,pint_reg_DK_st,shpty_DIFF,meet_DIFF,rank_DIFF,help_DIFF,pork_DIFF,leg_DIFF,surg_DIFF,new_DIFF,pint_DIFF,meet_DIFFDK,rank_DIFFDK,help_DIFFDK,pork_DIFFDK,leg_DIFFDK,surg_DIFFDK,new_DIFFDK,pint_DIFFSK,college,const_code,region_code,shpty_stfc,meet_stfc,rank_stfc,help_stfc,pork_stfc,leg_stfc,surg_stfc,news_stfc,pint_stfc,PM_stfc,MSPID_stfc,gov_stfc,term_stfc,marg_stfc,surgex_stfc,stan__mo_stfc,bus_mo_stfc,com_mo_stfc,ques_to_stfc,prev_elec_stfc,gender_stfc,meet_DK_stfc,rank_DK_stfc,help_DK_stfc,pork_DK_stfc,leg_DK_stfc,surg_DK_stfc,news_DK_stfc,pint_DK_stfc,region,year_FM,constituencycode_FM,constituency,constituency_code,questions_FM,member_FM,standard_FM,mem_business_FM,com_motion_FM,bill_motion_FM,totalrebel_FM,bill_FM,mpsid2,total_sur_ex_FM,max_surgerg_FM,parl_4_dum,surg_ex2_FM,questions_ALL,standard_ALL,mem_business_ALL,com_motion_ALL,bill_ALL,surg_ALL,partystack,pintstack,rankstack,helpstack,porkstack,legstack,surgstack,newstack,meetstack
1,0,const,1,AB123NY,0,18,Full-time student or pupil,Never worked,.,"GCSE A*-C, CSE grade 1, GCE O level grade A -C, School Certificate",0,Labour,2,0,2,0,.,.,SNP,1,1,0,Conservative,1,0,0,0,0,0,0,.,.,.,.,0,0,.,1,0,.,.,.,.,0,0,.,0,0,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,4,4,Maureen Watt,Maureen Watt,Scottish tiol,Lewis Macdold,Ross Thomson,Labour,Conservative,Callum McCaig,Scottish tiol,David Mundell,outin,7,0,2,0,2,0,0,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,0,1841,2117,3985,1,0,0,3,4,0,0.066,0.104,0,258,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,0,3,8,0,57,23,0.085188621,1,0,1,0,0,1,0,0,0,.,.,.,.,0,0,.,0,2117,0,4,0.066,258,0,2,0,57,0,0,0,2,2,2,2,0,0,2,0,0,.,.,.,.,0,0,.,0,0,0,0,0,0,0,0,0,6103,6100,0,0,.,.,.,.,0,0,.,0,1841,1,3,0.08518862,0,0,0,0,0,1,1,0,2,2,2,2,0,0,2,0,2011,6103,Aberdeen South and North Kincardine,6103,71,"Watt, Maureen",89,6,3,1,0,0,1841,873.74,6633,1,1276.34,71,89,6,3,0,1276.339966,0,2,2,2,2,2,0,0,0
1,1,reg1,0,AB123NY,0,18,Full-time student or pupil,Never worked,.,"GCSE A*-C, CSE grade 1, GCE O level grade A -C, School Certificate",0,Labour,2,0,2,0,.,.,SNP,1,1,0,Conservative,1,0,0,0,0,0,0,.,.,.,.,0,0,.,1,0,.,.,.,.,0,0,.,0,0,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,4,4,Lewis Macdold,Maureen Watt,Scottish tiol,Lewis Macdold,Ross Thomson,Labour,Conservative,Callum McCaig,Scottish tiol,David Mundell,outin,7,0,2,0,2,0,0,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,0,1841,2117,3985,1,0,0,3,4,0,0.066,0.104,0,258,0,258,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,0,3,8,0,57,23,0.085188621,1,0,1,0,0,1,0,0,0,.,.,.,.,.,.,.,0,3985,0,0,0.104,0,0,8,0,23,1,0,0,2,2,2,2,0,0,2,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,6103,6100,0,0,.,.,.,.,0,0,.,0,2117,0,4,0.066,258,0,2,0,57,0,0,0,2,2,2,2,0,0,2,1,2011,6100,North East Scotland,6100,592,"Macdo.ld, Lewis",42,0,0,0,2,0,2117,5418.4,6633,1,5431.2,649,42,2,0,0,5689.200195,1,2,2,2,2,2,0,0,0
1,2,reg2,0,AB123NY,0,18,Full-time student or pupil,Never worked,.,"GCSE A*-C, CSE grade 1, GCE O level grade A -C, School Certificate",0,Labour,2,0,2,0,.,.,SNP,1,1,0,Conservative,1,0,0,0,0,0,0,.,.,.,.,0,0,.,1,0,.,.,.,.,0,0,.,0,0,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,4,4,Ross Thomson,Maureen Watt,Scottish tiol,Lewis Macdold,Ross Thomson,Labour,Conservative,Callum McCaig,Scottish tiol,David Mundell,outin,7,0,2,0,2,0,0,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,0,1841,2117,3985,1,0,0,3,4,0,0.066,0.104,0,258,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,0,3,8,0,57,23,0.085188621,1,0,1,0,0,1,0,0,0,.,.,.,.,0,0,.,0,2117,0,4,0.066,258,0,2,0,57,0,0,0,2,2,2,2,0,0,2,0,0,.,.,.,.,0,0,.,0,0,0,0,0,0,0,0,0,6103,6100,0,0,.,.,.,.,.,.,.,0,3985,0,0,0.104000002,0,0,8,0,23,1,0,0,2,2,2,2,0,0,2,1,.,.,.,.,0,.,0,0,0,0,0,0,.,0,0,.,0,23,0,8,0,0,0,0,2,2,2,2,2,0,0,0
2,0,const,1,EH105NJ,2,18,Full-time student or pupil,"Semi-skilled or unskilled manual work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, bar-worker, call-centre worker)",12,"Other techincal, professiol, or higher qualification",0,Labour,2,4,6,0,.,.,SNP,1,0,.,Conservative,1,1,1,0,1,1,1,3,3,3,2,0,0,3,1,0,2,3,4,3,0,0,2,0,0,2,.,.,.,0,0,.,1,0,3,5,3,4,0,1,3,2,3,3,Daniel Johnson,Daniel Johnson,Labour,Kezie Dugdale,Alison Johnstone,Labour,Green,Ian Murray,Labour,Steven Paterson,inin,1,2,0,0,2,2,2,0,3,1,3,3,3,2,0,0,3,0,2,3,4,3,0,0,3,2,2,0,2,2,2,2,0,0,2,0,3,5,3,4,0,1,3,0,0,0,5604,3812,4934,0,0,0,0,1,1,0.102,0.05,0,660,240,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,6,9,0,6,40,41,48,0.029352571,0,0,1,1,1,0,0,2,0,2,3,4,3,0,0,2,0,3812,0,1,0.102,660,0,0,0,41,0,1,0,2,3,4,3,0,0,2,0,1,1,0,-1,-1,0,0,1,1,1,0,-1,-1,0,0,1,0,4106,4100,2,1,3,3,3,2,0,0,3,0,5604,0,0,0.029352572,0,5,3,0,40,0,0,1,3,3,3,2,0,0,3,0,.,.,.,.,0,.,0,0,0,0,0,0,.,0,0,.,0,40,5,3,0,0,0,1,3,3,3,3,2,0,0,1
2,1,reg1,0,EH105NJ,2,18,Full-time student or pupil,"Semi-skilled or unskilled manual work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, bar-worker, call-centre worker)",12,"Other techincal, professiol, or higher qualification",0,Labour,2,4,6,0,.,.,SNP,1,0,.,Conservative,1,1,1,0,1,1,1,3,3,3,2,0,0,3,1,0,2,3,4,3,0,0,2,0,0,2,.,.,.,0,0,.,1,0,3,5,3,4,0,1,3,2,3,3,Kezie Dugdale,Daniel Johnson,Labour,Kezie Dugdale,Alison Johnstone,Labour,Green,Ian Murray,Labour,Steven Paterson,inin,1,2,0,0,2,2,2,0,3,1,3,3,3,2,0,0,3,0,2,3,4,3,0,0,3,2,2,0,2,2,2,2,0,0,2,0,3,5,3,4,0,1,3,0,0,0,5604,3812,4934,0,0,0,0,1,1,0.102,0.05,0,660,240,660,5,0,0,3,0,0,0,0,0,0,0,0,1,0,6,9,0,6,40,41,48,0.029352571,0,0,1,1,1,0,0,0,0,2,.,.,.,0,0,.,0,4934,0,1,0.05,240,0,0,0,48,1,1,0,2,2,2,2,0,0,2,2,1,1,.,.,.,0,0,.,1,1,1,1,0,0,0,1,0,4106,4100,2,0,2,3,4,3,0,0,2,0,3812,0,1,0.101999998,660,0,0,0,41,0,1,0,2,3,4,3,0,0,2,1,2011,4100,Lothian,4100,1022,"Dugdale, Kezia",47,6,0,0,3,0,3812,3743.75,6633,1,4139.75,1063,47,6,0,0,4799.75,1,2,2,3,4,3,0,0,0
2,2,reg2,0,EH105NJ,2,18,Full-time student or pupil,"Semi-skilled or unskilled manual work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, bar-worker, call-centre worker)",12,"Other techincal, professiol, or higher qualification",0,Labour,2,4,6,0,.,.,SNP,1,0,.,Conservative,1,1,1,0,1,1,1,3,3,3,2,0,0,3,1,0,2,3,4,3,0,0,2,0,0,2,.,.,.,0,0,.,1,0,3,5,3,4,0,1,3,2,3,3,Alison Johnstone,Daniel Johnson,Labour,Kezie Dugdale,Alison Johnstone,Labour,Green,Ian Murray,Labour,Steven Paterson,inin,1,2,0,0,2,2,2,0,3,1,3,3,3,2,0,0,3,0,2,3,4,3,0,0,3,2,2,0,2,2,2,2,0,0,2,0,3,5,3,4,0,1,3,0,0,0,5604,3812,4934,0,0,0,0,1,1,0.102,0.05,0,660,240,240,5,0,0,3,0,0,0,0,0,0,0,0,1,0,6,9,0,6,40,41,48,0.029352571,0,0,1,1,1,0,0,2,0,2,3,4,3,0,0,2,0,3812,0,1,0.102,660,0,0,0,41,0,1,0,2,3,4,3,0,0,2,0,1,1,0,-1,-1,0,0,1,1,1,0,-1,-1,0,0,1,0,4106,4100,0,0,2,.,.,.,0,0,.,0,4934,0,1,0.050000001,240,0,0,0,48,1,1,0,2,2,2,2,0,0,2,1,2011,4100,Lothian,4100,357,"Johnstone, Alison",101,3,0,0,0,0,4934,5625,6633,1,6597,405,101,3,0,0,6837,0,2,2,2,2,2,0,0,0
3,0,const,1,EH105SL,3,18,Full-time student or pupil,"Mager or senior administrator (e.g. accountant, school teacher, university lecturer, fince mager, personnel mager, senior sales mager, senior local government officer)",11,"Higher tiol Certificate (ONC) or Diploma (OND), City & Guilds level 3 (Advanced/Fil), NVQ/SVQ level 3",1,Labour,1,2,2,1,Labour,Labour,Conservative,0,1,0,Conservative,1,1,0,0,1,1,0,2,2,3,2,0,0,3,1,0,2,3,3,.,0,0,3,0,0,3,3,.,.,0,0,3,1,0,4,4,4,3,0,0,4,2,3,4,Daniel Johnson,Daniel Johnson,Labour,Kezie Dugdale,Gordon Lindhurt,Labour,Conservative,Ian Murray,Labour,Owen Thompson,inin,9,2,2,0,1,1,1,0,2,0,2,2,3,2,0,0,3,0,2,3,3,2,0,0,3,3,3,0,3,3,2,2,0,0,3,0,4,4,4,3,0,0,4,0,0,0,5604,3812,2015,0,0,0,0,1,0,0.102,0.021,0,660,120,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,40,41,14,0.029352571,0,0,0,1,0,0,0,1,0,2,3,3,.,0,0,3,0,3812,0,1,0.102,660,0,0,0,41,0,1,0,2,3,3,2,0,0,3,0,0,0,-1,0,.,0,0,0,0,0,-1,0,0,0,0,0,0,4106,4100,1,0,2,2,3,2,0,0,3,0,5604,0,0,0.029352572,0,5,3,0,40,0,0,0,2,2,3,2,0,0,3,0,.,.,.,.,0,.,0,0,0,0,0,0,.,0,0,.,0,40,5,3,0,0,0,1,3,2,2,3,2,0,0,0
3,1,reg1,0,EH105SL,3,18,Full-time student or pupil,"Mager or senior administrator (e.g. accountant, school teacher, university lecturer, fince mager, personnel mager, senior sales mager, senior local government officer)",11,"Higher tiol Certificate (ONC) or Diploma (OND), City & Guilds level 3 (Advanced/Fil), NVQ/SVQ level 3",1,Labour,1,2,2,1,Labour,Labour,Conservative,0,1,0,Conservative,1,1,0,0,1,1,0,2,2,3,2,0,0,3,1,0,2,3,3,.,0,0,3,0,0,3,3,.,.,0,0,3,1,0,4,4,4,3,0,0,4,2,3,4,Kezie Dugdale,Daniel Johnson,Labour,Kezie Dugdale,Gordon Lindhurt,Labour,Conservative,Ian Murray,Labour,Owen Thompson,inin,9,2,2,0,1,1,1,0,2,0,2,2,3,2,0,0,3,0,2,3,3,2,0,0,3,3,3,0,3,3,2,2,0,0,3,0,4,4,4,3,0,0,4,0,0,0,5604,3812,2015,0,0,0,0,1,0,0.102,0.021,0,660,120,660,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,40,41,14,0.029352571,0,0,0,1,0,0,0,0,0,3,3,.,.,0,0,3,0,2015,0,0,0.021,120,0,0,0,14,0,0,0,3,3,2,2,0,0,3,1,0,-1,-1,.,.,0,0,0,0,-1,-1,1,0,0,0,0,0,4106,4100,1,0,2,3,3,.,0,0,3,0,3812,0,1,0.101999998,660,0,0,0,41,0,1,0,2,3,3,2,0,0,3,1,2011,4100,Lothian,4100,1022,"Dugdale, Kezia",47,6,0,0,3,0,3812,3743.75,6633,1,4139.75,1063,47,6,0,0,4799.75,1,3,2,3,3,2,0,0,0
3,2,reg2,0,EH105SL,3,18,Full-time student or pupil,"Mager or senior administrator (e.g. accountant, school teacher, university lecturer, fince mager, personnel mager, senior sales mager, senior local government officer)",11,"Higher tiol Certificate (ONC) or Diploma (OND), City & Guilds level 3 (Advanced/Fil), NVQ/SVQ level 3",1,Labour,1,2,2,1,Labour,Labour,Conservative,0,1,0,Conservative,1,1,0,0,1,1,0,2,2,3,2,0,0,3,1,0,2,3,3,.,0,0,3,0,0,3,3,.,.,0,0,3,1,0,4,4,4,3,0,0,4,2,3,4,Gordon Lindhurt,Daniel Johnson,Labour,Kezie Dugdale,Gordon Lindhurt,Labour,Conservative,Ian Murray,Labour,Owen Thompson,inin,9,2,2,0,1,1,1,0,2,0,2,2,3,2,0,0,3,0,2,3,3,2,0,0,3,3,3,0,3,3,2,2,0,0,3,0,4,4,4,3,0,0,4,0,0,0,5604,3812,2015,0,0,0,0,1,0,0.102,0.021,0,660,120,120,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,40,41,14,0.029352571,0,0,0,1,0,0,0,1,0,2,3,3,.,0,0,3,0,3812,0,1,0.102,660,0,0,0,41,0,1,0,2,3,3,2,0,0,3,0,0,0,-1,0,.,0,0,0,0,0,-1,0,0,0,0,0,0,4106,4100,0,0,3,3,.,.,0,0,3,0,2015,0,0,0.021,120,0,0,0,14,0,0,0,3,3,2,2,0,0,3,1,.,.,.,.,0,.,0,0,0,0,0,0,.,0,0,.,0,14,0,0,0,0,120,0,3,3,3,2,2,0,0,0
4,0,const,1,EH166WB,3,18,Full-time student or pupil,Never worked,.,"Scottish Ordiry Bands A-C or pass, Scottish Standard Grades 1-3 or Pass/Lower Certificate",0,Labour,0,2,4,1,Labour,Labour,SNP,1,1,0,Conservative,1,0,0,0,1,0,0,2,1,2,2,0,0,1,1,0,2,2,3,2,0,0,2,0,0,2,2,2,2,0,0,1,1,0,3,4,3,3,0,0,3,3,2,3,Ash Denham,Ash Denham,Scottish tiol,Kezie Dugdale,Andy Wightman,Labour,Green,Ian Murray,Labour,Michelle Thomson,outin,8,3,2,0,2,0,0,0,1,0,2,1,2,2,0,0,1,0,2,2,3,2,0,0,1,2,1,0,2,2,2,2,0,0,1,0,3,4,3,3,0,0,3,0,0,0,5605,3812,5695,0,0,0,0,1,0,0.102,0.05,860,660,0,860,16,0,6,0,0,0,0,0,0,0,0,0,0,0,3,16,0,9,11,41,24,0.143712744,0,0,0,1,0,1,0,0,0,2,2,3,2,0,0,2,0,3812,0,1,0.102,660,0,0,0,41,0,1,0,2,2,3,2,0,0,2,0,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,4103,4100,0,0,2,1,2,2,0,0,1,0,5605,0,0,0.143712744,860,16,0,0,11,0,1,0,2,1,2,2,0,0,1,0,.,.,.,.,0,.,0,0,0,0,0,0,.,0,0,.,0,11,16,0,0,0,860,0,1,2,1,2,2,0,0,0
